symbol,strategy,spot,action,qty,pc,strike,expiry,cr_dr,price,max_loss,note
EA,CASH-SECURED PUT,200.64,SELL,2.0,P,195.0,2026-06-12,CR,0.66,264.0,"Stop: close @ loss = 2x credit (notional cap $50,000)"
HRL,CASH-SECURED PUT,19.74,SELL,27.0,P,18.0,2026-06-12,CR,0.2,1080.0,"Stop: close @ loss = 2x credit (notional cap $50,000)"
KHC,COVERED CALL / BEAR CALL SPREAD,,,,,,,,,,illiquid / no valid strikes
AES,COVERED CALL / BEAR CALL SPREAD,,,,,,,,,,illiquid / no valid strikes
KR,SHORT STRANGLE,66.02,SELL,11.0,P,57.5,2026-06-18,CR,0.58,4774.0,Net CR=0.66/contract
KR,SHORT STRANGLE,66.02,BUY,11.0,P,55.0,2026-06-18,DR,0.22,0.0,put wing
KR,SHORT STRANGLE,66.02,SELL,11.0,C,75.0,2026-06-18,CR,0.4,0.0,
KR,SHORT STRANGLE,66.02,BUY,11.0,C,80.0,2026-06-18,DR,0.1,0.0,call wing
NDAQ,SHORT STRANGLE,91.06,SELL,11.0,P,80.0,2026-06-18,CR,0.62,4752.0,Net CR=0.68/contract
NDAQ,SHORT STRANGLE,91.06,BUY,11.0,P,75.0,2026-06-18,DR,0.17,0.0,put wing
NDAQ,SHORT STRANGLE,91.06,SELL,11.0,C,105.0,2026-06-18,CR,0.3,0.0,
NDAQ,SHORT STRANGLE,91.06,BUY,11.0,C,110.0,2026-06-18,DR,0.07,0.0,call wing
ROST,EARNINGS STRANGLE SELL,212.75,SELL,19.0,P,202.5,2026-05-22,CR,3.35,4807.0,Net CR=2.47/contract
ROST,EARNINGS STRANGLE SELL,212.75,BUY,19.0,P,197.5,2026-05-22,DR,2.17,0.0,put wing
ROST,EARNINGS STRANGLE SELL,212.75,SELL,19.0,C,222.5,2026-05-22,CR,3.17,0.0,
ROST,EARNINGS STRANGLE SELL,212.75,BUY,19.0,C,227.5,2026-05-22,DR,1.88,0.0,call wing
ULTA,CASH-SECURED PUT,494.28,SELL,1.0,P,450.0,2026-06-12,CR,10.75,2150.0,"Stop: close @ loss = 2x credit (notional cap $50,000)"
DECK,EARNINGS STRANGLE SELL,93.56,SELL,24.0,P,87.0,2026-05-22,CR,2.1,4800.0,Net CR=1.00/contract
DECK,EARNINGS STRANGLE SELL,93.56,BUY,24.0,P,84.0,2026-05-22,DR,1.52,0.0,put wing
DECK,EARNINGS STRANGLE SELL,93.56,SELL,24.0,C,101.0,2026-05-22,CR,2.42,0.0,
DECK,EARNINGS STRANGLE SELL,93.56,BUY,24.0,C,104.0,2026-05-22,DR,2.0,0.0,call wing
KVUE,SHORT STRANGLE,,,,,,,,,,illiquid / no valid strikes
WMT,EARNINGS STRANGLE SELL,131.45,SELL,17.0,P,126.0,2026-05-22,CR,1.17,4760.0,Net CR=1.20/contract
WMT,EARNINGS STRANGLE SELL,131.45,BUY,17.0,P,123.0,2026-05-22,DR,0.65,0.0,put wing
WMT,EARNINGS STRANGLE SELL,131.45,SELL,17.0,C,137.0,2026-05-22,CR,1.19,0.0,
WMT,EARNINGS STRANGLE SELL,131.45,BUY,17.0,C,141.0,2026-05-22,DR,0.51,0.0,call wing
WBD,SHORT STRANGLE,,,,,,,,,,illiquid / no valid strikes
CPB,SHORT STRANGLE,20.01,SELL,26.0,P,17.0,2026-06-18,CR,0.1,4836.0,Net CR=0.14/contract
CPB,SHORT STRANGLE,20.01,BUY,26.0,P,16.0,2026-06-18,DR,0.05,0.0,put wing
CPB,SHORT STRANGLE,20.01,SELL,26.0,C,23.0,2026-06-18,CR,0.17,0.0,
CPB,SHORT STRANGLE,20.01,BUY,26.0,C,25.0,2026-06-18,DR,0.08,0.0,call wing
TTWO,EARNINGS STRANGLE SELL,242.44,SELL,12.0,P,227.5,2026-05-22,CR,6.45,4740.0,Net CR=3.55/contract
TTWO,EARNINGS STRANGLE SELL,242.44,BUY,12.0,P,220.0,2026-05-22,DR,4.85,0.0,put wing
TTWO,EARNINGS STRANGLE SELL,242.44,SELL,12.0,C,260.0,2026-05-22,CR,6.85,0.0,
TTWO,EARNINGS STRANGLE SELL,242.44,BUY,12.0,C,267.5,2026-05-22,DR,4.9,0.0,call wing
ADI,EARNINGS STRANGLE SELL,417.49,SELL,4.0,P,392.5,2026-05-22,CR,5.2,4500.0,Net CR=3.75/contract
ADI,EARNINGS STRANGLE SELL,417.49,BUY,4.0,P,380.0,2026-05-22,DR,3.55,0.0,put wing
ADI,EARNINGS STRANGLE SELL,417.49,SELL,4.0,C,445.0,2026-05-22,CR,4.7,0.0,
ADI,EARNINGS STRANGLE SELL,417.49,BUY,4.0,C,460.0,2026-05-22,DR,2.6,0.0,call wing
